UID          PID    PPID  C STIME TTY          TIME CMD
kali        1068     737  0 01:39 ?        00:00:02 /usr/libexec/gvfs-afc-volume-monitor
kali        1073     737  0 01:39 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kali        1077     737  0 01:39 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kali        1085     890  0 01:39 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.13 /org/gtk/gvfs/exec_spaw/0
kali        1090     737  0 01:39 ?        00:00:00 /usr/libexec/gvfsd-metadata
kali        1100       1  0 01:39 ?        00:00:01 /usr/bin/python3 /usr/bin/blueman-tray
kali        1103     737  0 01:39 ?        00:00:00 /usr/libexec/bluetooth/obexd
kali        1115     890  0 01:39 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.13 /org/gtk/gvfs/exec_spaw/1
kali        1127     890  0 01:39 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.13 /org/gtk/gvfs/exec_spaw/3
kali        1344       1  0 01:54 ?        00:00:15 /usr/bin/qterminal
kali        1347    1344  0 01:54 pts/0    00:00:07 /usr/bin/zsh
kali        1790       1 13 02:23 ?        01:11:58 /usr/bin/x-www-browser
kali        1842    1790 11 02:23 ?        01:00:49 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 219893 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/browser 1790 true tab
kali        1899    1790  1 02:23 ?        00:05:49 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 3 -isForBrowser -prefsLen 227 -prefMapSize 219893 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/browser 1790 true tab
kali        1931    1790  0 02:23 ?        00:00:18 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 4 -isForBrowser -prefsLen 6210 -prefMapSize 219893 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/browser 1790 true tab
kali        1974    1790  0 02:23 ?        00:00:08 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 5 -isForBrowser -prefsLen 6210 -prefMapSize 219893 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/browser 1790 true tab
kali        2001    1790  0 02:23 ?        00:00:11 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 6 -isForBrowser -prefsLen 7046 -prefMapSize 219893 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/browser 1790 true tab
kali        2105    1790  0 02:28 ?        00:00:02 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 8 -isForBrowser -prefsLen 9135 -prefMapSize 219893 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/browser 1790 true tab
root       25303       2  0 09:06 ?        00:00:02 [kworker/1:1-events]
root       25361       2  0 09:12 ?        00:00:03 [kworker/0:0-ata_sff]
root       25898       2  0 11:13 ?        00:00:00 [kworker/u4:2-flush-8:0]
kali       25928    1790  0 11:16 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 9 -isForBrowser -prefsLen 9777 -prefMapSize 219893 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/browser 1790 true tab
kali       25988     737  0 11:19 ?        00:00:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
root       26054       2  0 11:25 ?        00:00:00 [kworker/0:2-events]
root       26081       2  0 11:26 ?        00:00:00 [kworker/1:4-events]
root       26160       2  0 11:26 ?        00:00:00 [kworker/u4:0-events_unbound]
root       26192       2  0 11:27 ?        00:00:00 [kworker/u4:3-events_unbound]
root       27153       2  0 11:30 ?        00:00:00 [kworker/0:1-ata_sff]
kali       27526    1347  0 11:34 pts/0    00:00:00 ps -ef
